query_id,query,source,precision_at_10,recall_at_10,mrr_at_10,ndcg_at_10,num_relevantes_qrel
1,técnica e preço,search log,0.2,0.13333333333333333,0.3333333333333333,0.17947710508581735,15
2,restos a pagar,search log,0.2,0.2857142857142857,1.0,0.21414653288713842,7
3,aditivo a contrato,search log,0.1,0.06666666666666667,1.0,0.10644837059332632,15
4,adesão a ata de registro de preços,search log,0.3,0.23076923076923078,0.5,0.31833954895937183,13
5,sobrepreço e superfaturamento,search log,0.2,0.15384615384615385,0.3333333333333333,0.17630010660342912,13
6,restrição a competitividade,search log,0.1,0.07142857142857142,0.3333333333333333,0.11004588314904008,14
7,acréscimos e supressões,search log,0.4,0.36363636363636365,0.25,0.3195496275649209,11
8,obras e serviços de engenharia,search log,0.1,0.07692307692307693,0.1111111111111111,0.07156539889154033,13
9,fiscalizacao de contratos,search log,0.1,0.07142857142857142,0.1,0.06872085805045479,14
10,diarias e passagens,search log,0.2,0.2,1.0,0.34259250973298866,10
11,bens e serviços comuns,search log,0.0,0.0,0.0,0.0,14
12,parcelas de maior relevância e valor significativo,search log,0.1,0.07142857142857142,0.125,0.07499707693130266,14
13,despesa sem cobertura contratual,search log,0.1,0.07142857142857142,1.0,0.22009176629808017,14
14,decreto-lei 4.657/1942,search log,0.0,0.0,0.0,0.0,10
15,contas e materialidade,search log,0.1,0.08333333333333333,0.125,0.09248417253031573,12
16,inexequibilidade e comprovação,search log,0.2,0.16666666666666666,0.25,0.14966626705771463,12
17,impedimento de licitar e contratar,search log,0.0,0.0,0.0,0.0,12
18,aditivo e obra,search log,0.2,0.15384615384615385,0.5,0.31122888318283964,13
19,fraude a licitacao,search log,0.1,0.08333333333333333,0.5,0.13886244387355454,12
20,auditoria interna,search log,0.3,0.23076923076923078,1.0,0.6810996824258109,13
21,fracionamento de despesas,search log,0.0,0.0,0.0,0.0,11
22,novo e improrrogável prazo,search log,0.0,0.0,0.0,0.0,12
23,inidoneidade de licitante,search log,0.0,0.0,0.0,0.0,12
24,licitações e contratos,search log,0.0,0.0,0.0,0.0,15
25,exigência de atestado de capacidade,search log,0.0,0.0,0.0,0.0,14
26,contrato com a administração pública,search log,0.0,0.0,0.0,0.0,15
27,inexigibilidade e singularidade,search log,0.3,0.2727272727272727,0.14285714285714285,0.20904936749052636,11
28,mera participação e epp,search log,0.2,0.18181818181818182,0.5,0.1806407520095203,11
29,decisão judicial,search log,0.0,0.0,0.0,0.0,15
30,fiscal de contrato,search log,0.0,0.0,0.0,0.0,13
31,medida cautelar,search log,0.2,0.15384615384615385,0.5,0.25279635550423724,13
32,é possível a aplicação concomitante,search log,0.0,0.0,0.0,0.0,13
33,reajuste de contrato,search log,0.3,0.25,0.5,0.3566630836808567,12
34,publicidade e concurso público,search log,0.0,0.0,0.0,0.0,11
35,falecimento e multa,search log,0.3,0.2727272727272727,1.0,0.38363315291837646,11
36,independência das instâncias,search log,0.2,0.2,0.3333333333333333,0.1903291720738826,10
37,planejamento estratégico,search log,0.4,0.26666666666666666,1.0,0.5135299778454189,15
38,sistema s e licitação,search log,0.1,0.06666666666666667,0.16666666666666666,0.10442850971144024,15
39,citação e validade,search log,0.2,0.15384615384615385,1.0,0.38772926306223404,13
40,multa a particulares,search log,0.1,0.08333333333333333,0.125,0.10956686694084036,12
41,licitação e preço de mercado,search log,0.0,0.0,0.0,0.0,15
42,edital modificação,search log,0.0,0.0,0.0,0.0,15
43,padronização marca,search log,0.8,0.5333333333333333,1.0,0.7941486871061263,15
44,interesse recíproco,search log,0.2,0.2,0.5,0.17470754761647528,10
45,pesquisa de preços,search log,0.2,0.14285714285714285,1.0,0.3589542101716347,14
46,planilha de custos e formação de preços,search log,0.2,0.14285714285714285,0.3333333333333333,0.2025527526628187,14
47,publicidade e propaganda,search log,0.3,0.2727272727272727,0.5,0.4327728113994954,11
48,processo seletivo e sistema s,search log,0.5,0.4166666666666667,1.0,0.6538118379824718,12
49,modalidade de licitação,search log,0.1,0.06666666666666667,1.0,0.10644837059332632,15
50,antecipação de pagamento,search log,0.3,0.2727272727272727,0.5,0.2942108957846409,11
51,concessão remunerada de uso de bens públicos modalidade,expression from LLM question,0.4,0.36363636363636365,0.2,0.2544117885215828,11
