query_id,doc_id,rank_final,qrel_score,rank_semantico,score_semantico,rank_grafo,score_grafo,rrf_semantico,rrf_grafo,era_semente
1,31594,9,,19,0.8444180488586426,24,53.1946615970459,0.0126582278481012,0.0119047619047619,False
1,20869,10,,52,0.8388099670410156,6,59.97384532098915,0.0089285714285714,0.0151515151515151,False
2,77959,7,3.0,13,0.833724856376648,3,33.550910487944456,0.0136986301369863,0.0158730158730158,False
3,81314,5,,16,0.8594757914543152,2,61.7151977046488,0.0131578947368421,0.0161290322580645,False
3,21089,9,,14,0.8613824248313904,13,52.14435039450432,0.0135135135135135,0.0136986301369863,False
3,20511,10,3.0,25,0.8573184013366699,8,53.9007768686665,0.0117647058823529,0.0147058823529411,False
4,50537,6,3.0,15,0.8677307963371277,5,43.92180694562997,0.0133333333333333,0.0153846153846153,False
4,49694,9,,11,0.8705807328224182,16,38.22148415976843,0.0140845070422535,0.0131578947368421,False
4,20841,10,,30,0.8634704351425171,4,44.90016990822095,0.0111111111111111,0.015625,False
5,32637,7,,13,0.8541304469108582,20,40.06621370786772,0.0136986301369863,0.0125,False
5,9527,8,,37,0.8493335843086243,10,43.60842645768066,0.0103092783505154,0.0142857142857142,False
5,34100,10,,35,0.849908173084259,15,41.786831352303295,0.0105263157894736,0.0133333333333333,False
6,18286,5,,18,0.8466452956199646,2,34.76262158632363,0.0128205128205128,0.0161290322580645,False
6,18259,6,,15,0.8481106758117676,10,27.307538873908342,0.0133333333333333,0.0142857142857142,False
7,18018,7,,23,0.8309544920921326,2,111.82278101282527,0.0120481927710843,0.0161290322580645,False
7,17209,9,,11,0.8372615575790405,20,97.2713671659715,0.0140845070422535,0.0125,False
8,11659,8,,32,0.8451356887817383,18,25.45845180698679,0.0108695652173913,0.0128205128205128,False
8,20577,9,,112,0.8377578854560852,2,35.54336876036658,0.005813953488372,0.0161290322580645,False
9,21113,10,,13,0.8644852042198181,25,30.59664206150595,0.0136986301369863,0.0117647058823529,False
10,30107,9,3.0,15,0.8363856077194214,8,51.30184552286551,0.0133333333333333,0.0147058823529411,False
10,32382,10,,21,0.8350043296813965,11,44.89804169743857,0.0123456790123456,0.0140845070422535,False
11,17902,6,,19,0.8366749286651611,3,25.850932257264645,0.0126582278481012,0.0158730158730158,False
11,34112,8,,14,0.8378371596336365,15,21.050537707502123,0.0135135135135135,0.0133333333333333,False
15,18437,4,,16,0.8439252972602844,1,18.64621642961435,0.0131578947368421,0.0163934426229508,False
15,19719,9,,29,0.8421158194541931,21,12.47733687864546,0.0112359550561797,0.0123456790123456,False
15,14408,10,2.0,11,0.8454973697662354,50,10.688884987624794,0.0140845070422535,0.009090909090909,False
16,18886,4,,22,0.8382543921470642,1,58.25114338075025,0.0121951219512195,0.0163934426229508,False
16,95376,10,,19,0.8385051488876343,33,22.567553086519982,0.0126582278481012,0.010752688172043,False
17,17953,6,,17,0.8664661049842834,2,28.60832553656921,0.0129870129870129,0.0161290322580645,False
17,21917,10,,21,0.8658965826034546,20,17.407353393064355,0.0123456790123456,0.0125,False
18,20512,7,,19,0.8448992967605591,5,51.58108249796732,0.0126582278481012,0.0153846153846153,False
