query_id,source,pergunta,rank_final,doc_id,qrel_score,julgado,relevante_binario,score_final_rrf,rank_semantico,score_semantico,rank_grafo,score_grafo,rrf_semantico,rrf_grafo,era_semente
1,search log,técnica e preço,1,20506,3.0,True,True,0.032266458495966696,3,0.8531661033630371,1,68.85646263269813,0.015873015873015872,0.01639344262295082,True
1,search log,técnica e preço,2,20970,,False,False,0.031009615384615385,5,0.8487247228622437,4,60.20382754806927,0.015384615384615385,0.015625,True
1,search log,técnica e preço,3,21207,,False,False,0.030798389007344232,7,0.8473246693611145,3,60.26367396370318,0.014925373134328358,0.015873015873015872,True
1,search log,técnica e preço,4,33887,,False,False,0.030621785881252923,2,0.8562682867050171,9,58.99309300809549,0.016129032258064516,0.014492753623188406,True
1,search log,técnica e preço,5,20584,,False,False,0.029551337359792925,1,0.859291672706604,16,54.69492862327686,0.01639344262295082,0.013157894736842105,True
1,search log,técnica e preço,6,31526,,False,False,0.028665028665028666,6,0.8482502698898315,14,58.263982583995784,0.015151515151515152,0.013513513513513514,True
1,search log,técnica e preço,7,21064,3.0,True,True,0.02606951871657754,8,0.8472214937210083,28,52.271811019311734,0.014705882352941176,0.011363636363636364,True
1,search log,técnica e preço,8,21285,,False,False,0.02501906941266209,9,0.8470193147659302,35,50.31352946592411,0.014492753623188406,0.010526315789473684,True
1,search log,técnica e preço,9,31594,,False,False,0.024562989752863168,19,0.8444180488586426,24,53.1946615970459,0.012658227848101266,0.011904761904761904,False
1,search log,técnica e preço,10,20869,,False,False,0.02408008658008658,52,0.8388099670410156,6,59.97384532098915,0.008928571428571428,0.015151515151515152,False
2,search log,restos a pagar,1,32869,,False,False,0.032266458495966696,3,0.8476554155349731,1,43.71184987685022,0.015873015873015872,0.01639344262295082,True
2,search log,restos a pagar,2,17289,2.0,True,True,0.032018442622950824,1,0.8557023406028748,4,32.318025194805635,0.01639344262295082,0.015625,True
2,search log,restos a pagar,3,19084,,False,False,0.031754032258064516,4,0.8410590887069702,2,41.05147330156209,0.015625,0.016129032258064516,True
